"id","created_at","survey_slug","survey_version","session_id","answers","meta"
"70","2026-03-24 22:32:16.449467+00","bravito","1","ce567ed8-1433-4a53-9280-795d703ab2c7","{""persona"":""analitico""}","{""completedAt"":""2026-03-24T22:32:16.069Z""}"
"71","2026-03-24 23:01:48.852394+00","bravito","1","ce567ed8-1433-4a53-9280-795d703ab2c7","{""persona"":""analitico""}","{""completedAt"":""2026-03-24T23:01:48.564Z""}"
"72","2026-03-25 20:11:17.61014+00","bravito","1","10f462dd-8040-4cce-bfa5-c5fb1c401d0e","{""persona"":""buscador""}","{""completedAt"":""2026-03-25T20:11:17.357Z""}"
"73","2026-03-25 20:13:27.047614+00","bravito","1","261e5e3d-43b6-42f1-aee9-d28c75a42899","{""persona"":""buscador""}","{""completedAt"":""2026-03-25T20:13:26.481Z""}"
"74","2026-03-25 23:11:28.975909+00","bravito","1","ce567ed8-1433-4a53-9280-795d703ab2c7","{""persona"":""analitico""}","{""completedAt"":""2026-03-25T23:11:28.774Z""}"
"75","2026-03-26 00:47:37.73147+00","bravito","1","06138867-c7dc-4d16-8aba-be2aead3cfe3","{""persona"":""determinado""}","{""completedAt"":""2026-03-26T00:47:38.076Z""}"
"76","2026-03-26 15:42:33.686611+00","bravito","1","5399c37e-0e42-48b3-ad86-64ab5cf8d5a8","{""persona"":""buscador""}","{""completedAt"":""2026-03-26T15:42:33.438Z""}"
"77","2026-03-27 13:27:54.555347+00","bravito","1","cec439d6-1461-48a2-acaf-a78bedfac863","{""persona"":""reinventado""}","{""completedAt"":""2026-03-27T13:27:54.012Z""}"
"78","2026-03-27 15:22:36.058891+00","bravito","1","5399c37e-0e42-48b3-ad86-64ab5cf8d5a8","{""persona"":""multipotencial""}","{""completedAt"":""2026-03-27T15:22:33.636Z""}"
"79","2026-03-27 15:22:36.507665+00","bravito","1","5399c37e-0e42-48b3-ad86-64ab5cf8d5a8","{""persona"":""estratega""}","{""completedAt"":""2026-03-27T15:22:36.118Z""}"
